filename,gender,imagequality,age,weight,carryingbag,footwear,emotion,bodypose,image_path
images/Set1/5580_2 (3).jpg,male,Average,35-45,normal-healthy,Grocery/Home/Plastic Bag,Normal,Neutral,Front-Frontish,resized/1.jpg
images/Set1/4650_1 (4).jpg,female,Average,35-45,over-weight,None,Normal,Angry/Serious,Front-Frontish,resized/2.jpg
images/Set1/44880_0.jpg,male,Good,45-55,normal-healthy,Grocery/Home/Plastic Bag,CantSee,Neutral,Front-Frontish,resized/3.jpg
images/Set1/26130_2.jpg,male,Good,45-55,normal-healthy,Daily/Office/Work Bag,Normal,Neutral,Front-Frontish,resized/4.jpg
images/Set1/IMG (4438).jpg,female,Good,35-45,slightly-overweight,None,CantSee,Neutral,Front-Frontish,resized/5.jpg
images/Set1/32490_1.jpg,male,Good,35-45,slightly-overweight,None,Normal,Neutral,Front-Frontish,resized/6.jpg
images/Set1/IMG (219).jpg,male,Bad,25-35,normal-healthy,None,Normal,Neutral,Front-Frontish,resized/7.jpg
images/Set1/24120_0 (2).jpg,male,Good,25-35,slightly-overweight,Grocery/Home/Plastic Bag,Normal,Neutral,Side,resized/8.jpg
images/Set1/9690_0.jpg,male,Average,35-45,slightly-overweight,None,CantSee,Neutral,Back,resized/9.jpg
images/Set1/10230_0 (5).jpg,male,Average,25-35,underweight,Daily/Office/Work Bag,Fancy,Neutral,Front-Frontish,resized/10.jpg
images/Set1/12990_0 (3).jpg,female,Average,35-45,slightly-overweight,None,Fancy,Neutral,Front-Frontish,resized/11.jpg
images/Set1/IMG (1906).jpg,male,Average,45-55,slightly-overweight,None,Normal,Neutral,Front-Frontish,resized/12.jpg
images/Set1/10380_0 (2).jpg,male,Good,35-45,slightly-overweight,Daily/Office/Work Bag,Normal,Neutral,Front-Frontish,resized/13.jpg
images/Set1/10050_0.jpg,female,Good,25-35,normal-healthy,Daily/Office/Work Bag,Normal,Neutral,Side,resized/14.jpg
images/Set1/37620_6.jpg,female,Average,25-35,normal-healthy,Daily/Office/Work Bag,Normal,Neutral,Back,resized/15.jpg
images/Set1/18390_1 (2).jpg,male,Average,25-35,normal-healthy,None,CantSee,Neutral,Front-Frontish,resized/16.jpg
images/Set1/41070_4.jpg,male,Good,35-45,normal-healthy,None,CantSee,Neutral,Side,resized/17.jpg
